word,hint,sentence,bonus,misspellings
missed,past tense of miss; failed to hit or catch,She missed the bus and had to walk to school.,,mised|misst
willing,ready and happy to do something,He was willing to help clean up after the party.,,wiling|welling
balloon,an inflatable rubber toy filled with air,The red balloon floated up into the sky.,,baloon|ballune
spelling,the way letters form a word,Practicing spelling every night helps me remember words.,,speling|spellin
pretty,attractive or nice looking,The garden was full of pretty flowers.,,prety|pritty
still,not moving; or up to this time,Please stand still while I tie your shoe.,,stil|stille
off,away from; not on,Please turn off the lights before you leave.,,of|oph|awf
added,put together with something else,She added two more cups of flour to the bowl.,,aded|addid
letter,a written message or a symbol in the alphabet,I wrote a letter to my grandmother last week.,,leter|lettur
different,not the same,Each snowflake has a different shape.,,diferent|differant
pattern,a repeated design or sequence,The quilt had a colorful pattern of stars.,,patern|patturn
middle,the center part of something,Sit in the middle seat of the car.,,midle|middel
mississippi,a state and river in the United States,We crossed the Mississippi River on our trip.,,misissippi|mississipi
zipper,a fastener with two rows of teeth,Pull the zipper up to close your jacket.,,ziper|zippur
carry,to hold and take something with you,Can you help me carry these heavy books?,,cary|carrey
