word,hint,sentence,bonus,misspellings
under,below something,The cat is hiding under the bed.,,onder|undur
such,used to emphasize a quality,That was such a fun day!,,sutch|suche
much,a large amount,How much juice is left in the bottle?,,mutch|muche
young,not old,The young puppy loves to play.,,yung|yong
touch,to feel something with your hand,Please don't touch the wet paint.,,tuch|tutch
use,to make use of something for a purpose,You can use my pencil if you need one.,,yuse|uze
your,"shows something belongs to you, not ""you're""",Is this your jacket?,,yor|yur
you,refers to the person being spoken to,Are you coming to the party?,,yoo|yu
unit,one whole part of something bigger,We studied a unit on plants in science class.,,younit|unet
cute,"pleasing and attractive, often for something small",The baby rabbit is so cute.,,kute|cewt
few,a small number of something,I only have a few crayons left.,,fue|fyew
new,"recently made or bought, sounds like ""knew""",She got a new backpack for school.,,nue|nyew
fuel,"something burned to make energy, like gas",The car needs more fuel before the trip.,,fule|fewl
human,a person,"Every human needs food, water, and sleep.",,humun|hueman
music,"sounds arranged in a pleasing way, like songs",She loves listening to music on the radio.,,musick|myusic
