word,hint,sentence,bonus,misspellings
children,plural of child,The children played happily in the park.,,childrin|childran
search,to look for something carefully,We had to search the whole house for the keys.,,serch|surch
teacher,a person who helps students learn,Our teacher read us a story after lunch.,,teecher|teachur
reached,arrived at or stretched to touch,She reached the top shelf with a step stool.,,reeched|reatched
think,to use your mind to consider something,I think it will rain today.,,thinck|thingk
together,with each other; not apart,We built the puzzle together as a family.,,togather|togethur
with,accompanied by; using,I like to eat cereal with milk.,,withe|wyth
where,asking about a location,Where did you put your backpack?,,whair|ware
everywhere,in all places,I looked everywhere for my missing shoe.,,everywear|evrywhere
short,not long or tall,The pencil was too short to use.,,shoart|shorte
push,to press against something to move it,Please push the door open for me.,,poosh|pushe
finish,to complete something,I need to finish my homework before dinner.,,finnish|finesh
sure,certain; without doubt,Are you sure you locked the front door?,,shure|shur
who,asking about a person,Who left this jacket on the chair?,,hoo|whoo
whole,entire; all of something,She ate the whole apple by herself.,,hole|wole
