word,hint,sentence,bonus,misspellings
air,the invisible gas we breathe,We took a deep breath of fresh air on the hike.,,ayr|aire
against,touching or opposed to,She leaned her bike against the fence.,,aginst|agenst
all right,okay; acceptable,Is it all right if I stay a little later?,,alright|allright
until,up to the time that,We played outside until it got dark.,,untill|untile
presents,gifts,She opened her birthday presents with a big smile.,,presants|prezents
beautiful,very pretty; lovely,The sunset over the ocean was absolutely beautiful.,,beutiful|beautifull
favorite,most liked,Pizza is my favorite food to eat on Fridays.,,favorate|faverite
clothes,items worn on the body,She folded her clean clothes and put them away.,,cloathes|clothz
people,more than one person,Many people came to watch the parade.,,peeple|peopel
vacation,a trip or time away from school or work,We went to the beach for our summer vacation.,,vacashun|vackation
remember,to keep something in your memory,Please remember to bring your library book back.,,remembur|remmember
already,before now; by this time,I have already finished my homework for tonight.,,allready|alredy
hospital,a place where sick people are treated,My aunt works as a nurse at the hospital.,,hospitle|hospittal
minute,a unit of time equal to 60 seconds,Please wait just one minute while I get my shoes.,,minit|minnute
straight,not curved or bent,Draw a straight line across the paper with your ruler.,,strait|straite
