word,hint,sentence,bonus,misspellings
aren't,contraction of are not,Those aren't my shoes by the door.,,arent|are'nt
partner,a person you work or play with,My reading partner and I finished the project early.,,partnur|pardner
hard,firm; or difficult,The math homework was pretty hard tonight.,,harde|hardd
chart,a diagram showing information,Our teacher drew a chart to show the weather.,,charrt|charte
farm,land used for growing crops or raising animals,We picked apples at the farm last weekend.,,pharm|farme
start,to begin something,Let's start our project after breakfast.,,starrt|starte
large,big in size,The elephant is a very large animal.,,larje|lardge
more,a greater amount,"Can I have more crackers, please?",,mor|moore
before,earlier than a certain time,Brush your teeth before you go to bed.,,befor|beefore
horse,a large animal people ride,She learned to ride a horse this summer.,,hoarse|horce
north,the direction opposite of south,We drove north to visit our cousins.,,nourth|northe
morning,the early part of the day,I eat breakfast every morning at seven o'clock.,,mourning|mornning
care,to look after or feel concern for,We take care of our new puppy every day.,,cair|kare
stare,to look for a long time without looking away,It is not polite to stare at strangers.,,stair|stayre
warning,a message that tells of danger ahead,The lifeguard gave a warning about the strong waves.,,worning|warnning
