word,hint,sentence,bonus,misspellings
looked,past tense of look,She looked out the window at the falling snow.,,lookt|luked
good,pleasant or of high quality,That was a really good movie we watched.,,gud|goud
brook,"a small, natural stream of water",We waded in the cool brook near the campsite.,,bruk|brooke
football,a sport played with an oval ball,He plays football every Saturday morning.,,futball|footbal
cookie,a small sweet baked treat,I baked a chocolate chip cookie for dessert.,,cookey|cukie
stood,past tense of stand,He stood in line to buy tickets for the show.,,stoud|stoode
full,containing as much as possible,My backpack is full of books and pencils.,,ful|fulle
put,to place something somewhere,Please put your shoes in the closet.,,putt|poot
food,something you eat,We packed food for our picnic in the park.,,fude|foud
school,a place where students learn,I ride my bike to school every morning.,,skool|scool
truth,something that is true; not a lie,She always tells the truth even when it is hard.,,trooth|truthe
room,a space inside a building,Clean your room before you go outside to play.,,rume|roome
true,accurate; not false,It is true that the earth orbits the sun.,,troo|trew
chew,to bite and grind food with your teeth,Remember to chew your food slowly.,,choo|chue
due,expected or owed at a certain time,My library book is due back on Friday.,,dew|du
