word,hint,sentence,bonus,misspellings
april,the fourth month of the year,It rained a lot in April this year.,,aprel|aypril
babies,plural of baby,The nursery had three babies sleeping peacefully.,,babys|babeys
over,above; or finished,The soccer game is over after ninety minutes.,,ovur|oaver
hello,a greeting,She waved and said hello to her neighbor.,,helo|hellow
even,equal; or flat and smooth,Make sure the shelf is even before you let go.,,evan|eeven
we,pronoun for a group including the speaker,We are going to the museum on Saturday.,,wee|wi
silent,making no sound,The library was completely silent during the test.,,silant|sylent
tiny,very small,The tiny kitten fit in the palm of my hand.,,tiney|tyny
menu,a list of food choices,We looked at the menu before ordering dinner.,,menoo|minu
future,time that has not happened yet,I hope to be a doctor in the future.,,futur|fewture
dear,a word showing affection; or costly,"Dear friend, thank you for your kind letter.",,deer|dere
raise,to lift up,Please raise your hand if you know the answer.,,rayse|raze
white,a very light color,The snow covered the ground in white.,,wite|whyte
used,put into service; or not new,She used a ruler to draw a straight line.,,uzed|yoused
those,plural of that,Those shoes belong to my little brother.,,thoze|thoase
