word,hint,sentence,bonus,misspellings
phone,a device used to talk to people far away,I called my grandmother on the phone.,,fone|phoan
photograph,a picture taken with a camera,We took a photograph in front of the waterfall.,,fotograph|photagraph
orphan,a child whose parents have died,The story was about a brave young orphan.,,orfan|orphen
alphabet,the letters used to write a language,Our class practices the alphabet every morning.,,alfabet|alphabett
graph,a chart that shows information visually,We made a graph to show our favorite colors.,,graf|graphe
nephew,the son of your sibling,My nephew is turning four years old next week.,,nefew|nephue
enough,as much as needed,Do we have enough snacks for the whole class?,,enuff|enouf
father,a male parent,My father taught me how to ride a bike.,,fathur|farther
half,one of two equal parts,She gave her brother half of the sandwich.,,haf|halph
friday,the day before Saturday,We always order pizza on Friday nights.,,fryday|fridey
cough,to push air out of the lungs suddenly,He had a cough so he stayed home from school.,,coff|cawf
unhappy,not happy; sad,The puppy looked unhappy when left alone.,,unhappey|unhapy
happier,more happy,I feel happier after playing outside in the sun.,,happyer|hapier
happily,in a happy way,The children played happily in the sandbox all afternoon.,,happilly|hapily
happiness,the state of being happy,Spending time with family brings me great happiness.,,happyness|hapiness
