word,hint,sentence,bonus,misspellings
lady,a polite word for a woman,The lady at the store helped us find the book.,,ladey|laidy
ladies,plural of lady,The ladies chatted while waiting for the bus.,,ladys|ladyes
surprise,something unexpected,We planned a surprise party for her birthday.,,suprise|surprize
surprises,plural of surprise; unexpected things,The magic show was full of fun surprises.,,suprises|surprizes
toys,things children play with,She keeps her toys organized in a big bin.,,toyz|toies
shoes,things you wear on your feet,Please put your shoes by the front door.,,shues|shooze
shy,quiet or nervous around others,The shy boy waved instead of saying hello.,,shi|shie
cry,to shed tears; to weep,The baby began to cry when she woke up.,,cri|crie
cried,past tense of cry,She cried tears of joy at the good news.,,cryed|cryd
study,to learn by reading and practicing,I need to study for my spelling test tonight.,,studdy|studey
studied,past tense of study,He studied hard before the big science test.,,studyed|studdied
story,a tale that is told or written,Grandpa told us a funny story before bed.,,storey|storie
only,just one; nothing more,She had only one cookie left in the jar.,,onley|onlie
finally,at last; after a long time,We finally arrived at the campsite after a long drive.,,finaly|finalley
family,a group of related people,My family likes to go hiking on weekends.,,famly|familey
