word,hint,sentence,bonus,misspellings
city,a large town where many people live,New York is a very busy city.,,sity|citty
cereal,a breakfast food made from grain,I ate a bowl of cereal with milk this morning.,,serial|cereel
face,the front part of the head,She washed her face before bed.,,fase|phace
could,past tense of can; was able to,I could hear the birds singing outside my window.,,cood|culd
guess,to give an answer without being sure,Can you guess how many candies are in the jar?,,gess|guesse
huge,extremely large,The elephant was absolutely huge.,,huje|hyuge
age,the number of years someone has lived,What age do you have to be to ride this ride?,,aje|aige
danger,a chance of harm or risk,The sign warned us about the danger of the cliff.,,dainger|danjer
goose,a large water bird,The goose swam across the pond with her babies.,,gooce|guse
gone,no longer present; departed,My sister has gone to visit our grandparents.,,gon|ghone
coast,land next to the ocean,We spent our vacation on the sunny coast.,,koast|cost
clean,free from dirt,Please clean your room before dinner.,,cleen|klean
guard,to protect or watch over,The dog likes to guard the front porch.,,gard|guarde
giant,extremely large; or a mythical huge person,The giant redwood tree was taller than a building.,,jiant|gyant
carton,a container made of cardboard,She poured milk from the carton into her glass.,,cartin|karton
