word,hint,sentence,bonus,misspellings
don't,contraction of do not,Don't forget to bring your umbrella today.,,dont|do'nt
didn't,contraction of did not,She didn't finish her breakfast this morning.,,didnt|did'nt
I'll,contraction of I will,I'll help you clean up after the party.,,ill|i'l
I'm,contraction of I am,I'm going to the store with my mom.,,im|i'am
it's,contraction of it is or it has,It's raining very hard outside right now.,,its'|it'is
let's,contraction of let us,Let's build a sandcastle at the beach.,,lets|le'ts
you're,contraction of you are,You're going to love this new book.,,youre|your'e
we're,contraction of we are,We're planning a trip to the mountains.,,were|weere|wer'e
doesn't,contraction of does not,He doesn't like broccoli very much.,,doesnt|dosen't
o'clock,used with a number to tell time,We need to leave the house at six o'clock.,,oclock|oclok
won't,contraction of will not,She won't be able to come to the party.,,wont|wo'nt
wouldn't,contraction of would not,He wouldn't share his toys with his brother.,,wouldnt|would'nt
its,shows something belongs to it,The dog wagged its tail happily.,,itts|itz
can't,contraction of cannot,I can't find my missing shoe anywhere.,,cant|ca'nt
that's,contraction of that is,That's the best pizza I have ever tasted.,,thats|that'is
