word,hint,sentence,bonus,misspellings
ghost,a spirit said to haunt a place,The kids told a scary ghost story around the fire.,,gost|goast
neighbor,a person who lives near you,Our neighbor waved to us from across the street.,,nieghbor|naybor
high,tall; far up,The kite flew very high in the sky.,,hi|hie
knew,past tense of know,She knew the answer before the teacher finished asking.,,new|knue|knoo
knot,a tangle or tied loop of rope or string,He tied a knot in his shoelace.,,not|knott
unknown,not known or familiar,The explorers sailed into unknown waters.,,unnown|unknone
rewrap,to wrap something again,I had to rewrap the present after the paper tore.,,rerap|rewrapp
wrong,not correct,I picked the wrong answer on the quiz by mistake.,,rong|wronge
written,past participle of write,She has written three stories for the class contest.,,writen|ritten
wrapper,paper or plastic covering something,He threw the candy wrapper in the trash can.,,wraper|rapper
unwrap,to remove the covering from something,The kids couldn't wait to unwrap their presents.,,unrap|unwrapp
climb,to move upward using hands and feet,We like to climb the big oak tree in our yard.,,clime|clim
limb,"an arm, leg, or tree branch",A large limb fell from the tree during the storm.,,lim|limm
gnaw,to bite and chew on something repeatedly,The puppy loves to gnaw on his favorite toy.,,naw|gnawe
gnat,a tiny flying insect,A gnat buzzed around the fruit on the table.,,nat|gnatt
