word,hint,sentence,bonus,misspellings
into,to the inside of,The cat jumped into the empty box.,,intoo|intu
today,this current day,Today is my favorite day of the week.,,todai|tuday
without,not having something,I cannot see well without my glasses.,,withowt|withoute
something,an unspecified thing,I heard something moving in the attic.,,somthing|sumthing
become,to turn into or start being,She wants to become a veterinarian someday.,,becum|becom
upon,on top of; a formal word for on,Once upon a time there lived a kind queen.,,apon|uppon
myself,me; used to refer back to the speaker,I made this card all by myself.,,myselph|miself
everybody,every person,Everybody cheered when our team scored.,,everybudy|evrybody
everyone,every person,Everyone brought a snack to share.,,everyon|evryone
maybe,possibly; perhaps,Maybe we can go to the beach this weekend.,,maybee|maiby
outside,not inside; in the open air,The kids played outside until the sun went down.,,owtside|outsyde
basketball,a game played with a ball and a hoop,He practices basketball every day after school.,,basketbal|baskitball
homework,school work done at home,I finished my homework before dinner.,,homwork|homewurk
skateboard,a board with wheels used for riding,She rode her skateboard down the smooth sidewalk.,,skatebord|skaitboard
earthquake,a shaking of the ground,The earthquake shook the pictures off the wall.,,erthquake|earthquaik
