word,hint,sentence,bonus,misspellings
useful,helpful; able to be used well,A flashlight is useful during a power outage.,,usefull|youseful
quietly,in a quiet manner,She quietly closed the door so she wouldn't wake the baby.,,quietley|kwietly
slowly,not quickly; taking time,The turtle moved slowly across the yard.,,slowley|sloly
careful,paying close attention to avoid mistakes,Be careful when you cross the busy street.,,carefull|carful
careless,not paying enough attention,It was careless of him to leave the door unlocked.,,careles|carless
quickly,fast; in a short amount of time,She quickly finished her homework so she could play.,,quickley|quikly
useless,not helpful; serving no purpose,The broken umbrella was useless in the storm.,,useles|youseless
worthless,having no value,The torn map was worthless once we got lost.,,worthles|wurthless
fearful,feeling afraid,The fearful kitten hid under the couch during the thunder.,,fearfull|feerful
fearless,not afraid; brave,The fearless firefighter ran into the burning building.,,fearles|feerless
joyful,full of happiness,The joyful puppy wagged its tail at the door.,,joyfull|joiful
smarter,more intelligent,My older sister thinks she is smarter than me.,,smartar|smartur
fastest,most quick,He is the fastest runner on our track team.,,fastist|fastust
funniest,most funny,That was the funniest joke I have ever heard.,,funnyest|funiest
happiest,most happy,This was the happiest day of my whole summer.,,happyest|hapiest
