word,hint,sentence,bonus,misspellings
way,a path or direction,Which way should we go to reach the park?,,wai|wey
these,plural of this,These shoes are too small for my feet.,,theze|thease
niece,daughter of your sibling,My niece just turned six years old.,,neice|neece
might,may possibly; also means strength,It might rain later this afternoon.,,mite|myte
show,to display or reveal,Can you show me how to solve this problem?,,sho|showe
float,to rest on top of water or air,The leaf began to float down the stream.,,flote|flowt
brain,the organ used for thinking,Your brain helps you remember and learn things.,,brane|brayn
mean,"unkind, or to intend something",It is not nice to be mean to your friends.,,mene|meen
close,near; or to shut,Please close the door when you leave the room.,,cloze|klose
tried,attempted to do something,She tried her best on the spelling test.,,tryed|tride
cube,a solid shape with six equal square sides,He built a tower using a wooden cube.,,kube|qube
uniform,a special outfit worn by a group,Every student wears a uniform to school.,,uneform|yuniform
stayed,remained in one place,We stayed inside because of the storm.,,staid|stayd
price,the amount of money something costs,The price of the toy was five dollars.,,prise|pryce
usually,most of the time; normally,I usually walk to school with my friends.,,usally|uzually
