word,hint,sentence,bonus,misspellings
brother,a male sibling,My brother helped me fix my bike tire.,,bruther|brothur
mother,a female parent,My mother packs my lunch every morning.,,muther|mothur
another,one more; a different one,Can I have another slice of pizza?,,anuther|anothur
field,an open area of grass or crops,The cows grazed peacefully in the field.,,feild|feeld
friend,a person you like and trust,My best friend came over to play video games.,,freind|frend
heard,past tense of hear,I heard thunder rumbling in the distance.,,herd|hurd
early,before the usual time,We woke up early to watch the sunrise.,,erly|earley
friendly,kind and pleasant,The new student was very friendly to everyone.,,freindly|frendly
head,the top part of the body,She wore a helmet to protect her head.,,hed|hedd
near,close to; not far,The park is near my house.,,neer|nere
year,a period of 365 days,I turned nine years old this year.,,yeer|yere
shield,something that protects; or armor,The knight held up his shield to block the arrow.,,sheild|sheeld
eat,to consume food,We eat dinner together as a family every night.,,eet|ete
measure,to find the size or amount of something,Use a ruler to measure the length of the table.,,mesure|measher
break,to separate into pieces; or a rest,Be careful not to break the fragile glass vase.,,brake|braik
