word,hint,sentence,bonus,misspellings
stalk,the stem of a plant; or to follow secretly,The corn stalk grew tall in the field behind our house.,,stawk|staulk
off,not on; away from a place,Please turn off the lights before you leave the room.,,of|oph|awf
because,for the reason that,I stayed inside because it was raining very hard outside.,,becaus|becuz
brought,past tense of bring,She brought her lunch to school in a paper bag.,,brawt|braught
called,past tense of call,My grandmother called me on the phone last night.,,calld|cawled
drawn,past tense of draw,The picture was drawn by a very talented young artist.,,drawne|draun
awful,very bad or unpleasant,The weather was awful so we stayed inside all day.,,awfull|offul
awkward,uncomfortable or clumsy,It was an awkward moment when he forgot her name.,,awkwerd|aukward
lawyer,a person who practices law,The lawyer helped the family understand their legal rights.,,loyer|lawier
daughter,a person's female child,My daughter loves to read books before bedtime.,,dauter|dawter
fault,responsibility for a mistake,It was not my fault that the vase broke.,,falt|faught
author,a person who writes a book,The author signed copies of her new novel at the store.,,auther|awthor
always,every time without exception,He always brushes his teeth before going to bed.,,allways|alwais
already,before now; by this time,We have already finished all of our homework tonight.,,allready|alredy
although,despite the fact that,Although it was cold the children played outside happily.,,allthough|althow
belong,to be the property of; to fit in,These books belong to the school library down the hall.,,belonge|bilong
office,a place where people work,My mother works in an office downtown every weekday.,,offise|ofice
haul,to pull or carry something heavy,The truck had to haul a heavy load of bricks.,,haull|hawl
