word,hint,sentence,bonus,misspellings
rough,not smooth; a harsh texture,The rough bark of the tree scraped against my hand as I climbed it.,,ruff|rouf
grudge,a lasting feeling of anger or dislike,She held a grudge against her brother for breaking her favorite toy.,,gruge|grudje
stunt,a dangerous or impressive trick,The stunt performer jumped his motorcycle over ten parked cars.,,stunte|stuntt
thumb,the short thick finger on your hand,He hurt his thumb while trying to open the stuck jar.,,thum|thumm
once,one time; at a previous time,We visited that museum once last summer during our vacation.,,wonce|wunce
another,one more; a different one,Could I please have another slice of pizza for dinner?,,anuther|anothur
does,present tense of do,She does her homework every afternoon before dinner.,,dose|duz
trouble,difficulty or a problem,He got into trouble for talking during the quiet reading time.,,trubble|troble
cousin,the child of your aunt or uncle,My cousin is coming to visit us for the whole summer.,,cuzin|cousen
began,past tense of begin,The rain began just as we finished setting up the tent.,,begann|bagan
oxygen,a gas people need to breathe,Plants release oxygen into the air during the day.,,oxigen|oksygen
copy,to make an exact version of something,Please copy the notes from the board into your notebook.,,coppy|copey
very,to a great extent,The soup was very hot so I let it cool first.,,verry|vary
until,up to the time that,We played outside until the streetlights came on.,,untill|untile
umpire,the official who makes calls in a baseball game,The umpire called the runner safe at home plate.,,umpyre|ompire
sudden,happening quickly and without warning,A sudden gust of wind knocked over the trash cans.,,suden|suddin
which,asking to choose among options,Which backpack do you want to bring to school today?,,wich|whitch
city,a large town where many people live,We took a train into the city to see the museum.,,sity|citty
