word,hint,sentence,bonus,misspellings
scene,a part of a play or movie or a place,The final scene of the movie made everyone cry.,,seen|sceen
they're,contraction of "they are",They're going to the beach this weekend with their family.,,theyre|thay're
through,from one side to the other,The dog ran through the tunnel at the park.,,thru|throughe
heir,a person who inherits sounds like "air",The prince was the heir to his father's throne.,,air|heire
clothes,garments worn on the body,She packed her clothes in a suitcase for the trip.,,cloathes|clothz
byte,a unit of computer memory not "bite",A byte is a small unit used to measure computer memory.,,bite|bight
aloud,spoken out loud not "allowed",The teacher asked him to read the story aloud.,,alowd|allowed
cruise,a voyage on a ship for pleasure,Our family went on a cruise to the Caribbean islands.,,cruze|crooze
crews,groups of people working together,The film crews worked all night to set up the lights.,,croos|crewes
isle,a small island not "aisle",The tiny isle had only one sandy beach.,,aisle|ile
principal,the head of a school not "principle",The principal greeted every student at the front door.,,prinsipal|principel
principle,a basic rule or belief not "principal",Honesty is an important principle to live by.,,prinsiple|princeple
hour,sixty minutes sounds like "our",We waited for almost an hour at the doctor's office.,,our|ower
knew,past tense of know sounds like "new",She knew the answer before the teacher even finished asking.,,new|knue|knoo
two,the number 2 not "to" or "too",He ate two sandwiches for lunch today.,,too|twoo
write,to form letters or words not "right",Please write your name at the top of the page.,,right|wright
chute,a sloped channel sounds like "shoot",The kids slid down the chute at the playground.,,shoot|shute
reign,a period of rule sounds like "rain",The queen's reign lasted for over fifty years.,,rain|rane
