word,hint,sentence,bonus,misspellings
countries,plural of country; nations,We studied five different countries in our geography class today.,,countrys|countreys
addresses,plural of address; locations,Please write down the addresses of everyone on the guest list.,,adresses|addreses
women,plural of woman,The women gathered in the park for a morning walk.,,wimen|womin
lessons,plural of lesson; things taught,I have piano lessons every Tuesday after school ends.,,lesons|lessens
people,plural of person,Many people came to watch the parade downtown this morning.,,peeple|peopel
skis,plural of ski; equipment for gliding on snow,He put on his skis and headed down the mountain.,,skiis|skees
friends,plural of friend,My friends and I are going to the movies tonight.,,freinds|frends
roofs,plural of roof; tops of buildings,Snow covered the roofs of every house on our street.,,rooves|roofes
calves,plural of calf; baby cows,The farmer's calves ran playfully around the green pasture.,,calfs|kalves
fences,plural of fence; barriers,Wooden fences separated the neighboring yards on our street.,,fenses|fencies
flies,plural of fly; insects,Flies buzzed around the picnic table during our lunch.,,flys|flyes
lives,plural of life,The firefighters saved many lives during the dangerous house fire.,,lifes|lyves
cherries,plural of cherry; fruit,We picked ripe cherries from the tree in our backyard.,,cherrys|cheries
businesses,plural of business; companies,Several new businesses opened downtown this year alone.,,busineses|bizinesses
guesses,plural of guess; estimates,Everyone made guesses about how many candies were in the jar.,,gueses|gesses
families,plural of family,Many families gathered at the park for the summer picnic.,,familys|familes
leaves,plural of leaf,The leaves turned bright orange and red in the fall.,,leafs|leeves
pictures,plural of picture; images,She hung new pictures of her family on the living room wall.,,pichures|picters
